timestamp,city,temperature,windspeed
11-03-2026 11:27,Dublin,9.8,27
11-03-2026 11:27,London,11.2,18
11-03-2026 11:27,New York,10.5,9.3
11-03-2026 11:27,Dubai,26.7,19.6
